Location,Vehicle_Type,Vehicle_Color,Vehicle_Model_Year,Registration_State,Driver_Age,Driver_Gender,License_Type,Penalty_Points,Weather_Condition,Road_Condition,License_Validity,Number_of_Passengers,Helmet_Worn,Seatbelt_Worn,Traffic_Light_Status,Speed_Limit,Recorded_Speed,Alcohol_Level,Breathalyzer_Result,Towed,Previous_Violations,day_of_week,hour,Violation_Type
Delhi,Truck,Grey,2014,Delhi,49,Male,Heavy Vehicle,0,Rainy,Dry,Valid,3,No,,Green,80,50,0.33,Negative,Yes,5,2,18,Over-speeding
Punjab,Auto Rickshaw,Grey,2001,Gujarat,37,Male,Four-Wheeler,6,Cloudy,Under Construction,Expired,1,No,Yes,Green,40,111,0.35,Negative,Yes,3,2,13,No Seatbelt
Uttar Pradesh,Truck,Blue,2000,Karnataka,48,Male,Commercial,8,Clear,Wet,Expired,5,,No,Yellow,80,63,0.38,Negative,Yes,4,5,17,Signal Jumping
Gujarat,Auto Rickshaw,Black,1996,Uttar Pradesh,19,Female,Heavy Vehicle,2,Clear,Dry,Valid,1,Yes,No,Green,30,52,0.11,Positive,Yes,4,5,9,Wrong Parking
Gujarat,Bus,Yellow,1999,Delhi,72,Male,Heavy Vehicle,9,Clear,Slippery,Suspended,4,,Yes,Red,50,25,0.36,Not Conducted,No,1,5,14,No Seatbelt
Tamil Nadu,Bike,Green,2002,Uttar Pradesh,32,Female,Learner,10,Rainy,Under Construction,Valid,5,Yes,,Green,30,66,0.34,Not Conducted,Yes,1,3,0,Wrong Parking
Uttar Pradesh,Scooter,Yellow,2009,Punjab,20,Male,Heavy Vehicle,4,Cloudy,Dry,Suspended,4,,Yes,Green,50,88,0.16,Not Conducted,No,2,4,8,Using Mobile Phone
Gujarat,Car,Green,1995,Tamil Nadu,42,Male,Four-Wheeler,1,Cloudy,Under Construction,Valid,3,No,,Red,80,90,0.19,Not Conducted,No,0,5,19,Wrong Parking
West Bengal,Truck,Grey,2010,Tamil Nadu,69,Female,Commercial,7,Clear,Potholes,Expired,1,,,Green,80,85,0.35,Positive,Yes,0,5,16,No Seatbelt
West Bengal,Auto Rickshaw,Black,2005,Karnataka,21,Male,Learner,6,Rainy,Slippery,Expired,2,,Yes,Red,60,93,0.23,Negative,Yes,5,4,16,Drunk Driving
Punjab,Scooter,Blue,2007,Uttar Pradesh,73,Other,Four-Wheeler,4,Clear,Dry,Valid,5,,No,Green,100,48,0.09,Negative,No,5,1,9,No Seatbelt
Tamil Nadu,Auto Rickshaw,White,2002,Delhi,41,Other,Learner,1,Dust Storm,Dry,Suspended,3,No,No,Red,30,32,0.01,Not Conducted,No,3,3,16,No Helmet
West Bengal,Car,Red,2022,Punjab,51,Other,Commercial,0,Clear,Wet,Expired,4,Yes,No,Red,50,37,0.42,Negative,No,2,6,0,Drunk Driving
Punjab,Scooter,Grey,2012,Maharashtra,22,Other,Heavy Vehicle,7,Dust Storm,Slippery,Valid,1,Yes,No,Yellow,80,85,0.16,Not Conducted,No,2,2,7,No Helmet
Uttar Pradesh,Truck,Black,2006,Uttar Pradesh,34,Male,Two-Wheeler,5,Cloudy,Dry,Valid,3,Yes,,Green,100,63,0.13,Positive,No,5,3,12,Drunk Driving
Punjab,Auto Rickshaw,White,1996,Uttar Pradesh,29,Other,Four-Wheeler,3,Clear,Wet,Expired,2,Yes,No,Red,40,114,0.45,Negative,Yes,3,2,14,Drunk Driving
Delhi,Scooter,White,2018,Gujarat,26,Female,Learner,1,Dust Storm,Wet,Expired,5,No,Yes,Green,30,114,0.12,Negative,No,3,4,2,Signal Jumping
Maharashtra,Car,White,2000,Gujarat,21,Female,Two-Wheeler,2,Dust Storm,Dry,Expired,2,No,,Green,100,90,0.15,Positive,Yes,2,4,4,Signal Jumping
Tamil Nadu,Bus,Black,2002,Uttar Pradesh,47,Male,Heavy Vehicle,7,Rainy,Wet,Expired,2,Yes,No,Yellow,80,90,0.47,Not Conducted,No,4,6,16,Drunk Driving
Gujarat,Truck,Black,2016,Tamil Nadu,68,Female,Heavy Vehicle,0,Clear,Dry,Valid,4,No,No,Red,30,23,0.44,Negative,No,4,4,12,No Helmet
Tamil Nadu,Truck,Grey,2001,Karnataka,27,Other,Two-Wheeler,8,Foggy,Wet,Expired,2,,,Yellow,30,87,0.33,Positive,Yes,5,5,0,Wrong Parking
Gujarat,Scooter,Black,2007,Uttar Pradesh,19,Female,Four-Wheeler,7,Cloudy,Wet,Valid,1,Yes,Yes,Yellow,40,71,0.28,Positive,Yes,5,2,6,Over-speeding
Gujarat,Bus,Green,2018,West Bengal,50,Male,Two-Wheeler,4,Clear,Dry,Suspended,3,,,Red,60,94,0.21,Positive,No,1,4,21,No Helmet
Uttar Pradesh,Scooter,Blue,2007,Maharashtra,54,Other,Learner,0,Cloudy,Slippery,Suspended,1,,Yes,Green,100,113,0.23,Positive,Yes,4,5,0,Overloading
Uttar Pradesh,Scooter,White,2012,Gujarat,71,Female,Two-Wheeler,6,Foggy,Potholes,Suspended,3,Yes,,Red,60,63,0.27,Negative,No,2,3,1,Using Mobile Phone
Punjab,Bike,Green,2013,Gujarat,72,Male,Four-Wheeler,0,Dust Storm,Wet,Suspended,1,Yes,,Green,50,111,0.3,Not Conducted,Yes,2,6,9,No Helmet
West Bengal,Car,Blue,2020,Punjab,48,Male,Four-Wheeler,4,Cloudy,Slippery,Expired,4,No,Yes,Yellow,100,39,0.33,Negative,No,3,0,20,Wrong Parking
Karnataka,Bike,Blue,2006,Uttar Pradesh,64,Male,Four-Wheeler,0,Rainy,Dry,Expired,4,No,Yes,Red,40,113,0.17,Positive,No,3,4,7,No Helmet
West Bengal,Bus,Yellow,2012,Maharashtra,22,Female,Two-Wheeler,0,Rainy,Potholes,Suspended,5,No,No,Red,30,28,0.34,Positive,Yes,0,5,23,Drunk Driving
Karnataka,Bike,Red,2012,West Bengal,26,Female,Commercial,3,Foggy,Potholes,Valid,4,Yes,No,Yellow,40,78,0.29,Not Conducted,No,3,3,9,Using Mobile Phone
Karnataka,Bike,Yellow,1995,Punjab,72,Other,Heavy Vehicle,7,Cloudy,Slippery,Suspended,4,,No,Yellow,40,23,0.05,Not Conducted,No,1,2,9,No Seatbelt
Punjab,Scooter,Blue,1998,Punjab,48,Male,Commercial,3,Foggy,Dry,Expired,1,No,No,Yellow,30,35,0.26,Negative,No,4,6,17,Driving Without License
Karnataka,Bus,Yellow,2003,Gujarat,25,Male,Four-Wheeler,0,Rainy,Wet,Valid,3,,Yes,Green,100,70,0.18,Positive,Yes,2,4,5,Signal Jumping
Maharashtra,Truck,Red,2013,West Bengal,24,Other,Two-Wheeler,9,Foggy,Slippery,Suspended,1,Yes,No,Yellow,100,90,0.22,Positive,No,2,1,23,No Helmet
Gujarat,Bus,Grey,2012,West Bengal,26,Female,Heavy Vehicle,9,Cloudy,Under Construction,Expired,4,Yes,No,Red,40,120,0.29,Not Conducted,No,1,4,2,Using Mobile Phone
Gujarat,Bike,Blue,2020,Punjab,21,Other,Learner,8,Dust Storm,Slippery,Suspended,1,,No,Yellow,30,104,0.45,Negative,Yes,2,3,11,Driving Without License
Maharashtra,Bus,White,2017,Delhi,25,Male,Learner,1,Cloudy,Potholes,Expired,2,Yes,Yes,Red,50,107,0.41,Not Conducted,No,2,1,8,No Helmet
Uttar Pradesh,Bus,Silver,2017,Tamil Nadu,27,Female,Two-Wheeler,7,Foggy,Dry,Valid,3,,No,Red,30,20,0.38,Not Conducted,No,3,6,6,No Seatbelt
Uttar Pradesh,Truck,Grey,2009,West Bengal,38,Other,Four-Wheeler,2,Rainy,Slippery,Suspended,5,No,,Yellow,50,41,0.24,Positive,No,1,6,17,Using Mobile Phone
Tamil Nadu,Scooter,Red,2022,Gujarat,26,Other,Commercial,6,Rainy,Wet,Valid,5,,No,Green,30,64,0.07,Not Conducted,No,5,6,22,Using Mobile Phone
Gujarat,Scooter,Green,2012,Punjab,55,Other,Learner,10,Rainy,Dry,Expired,1,,No,Red,100,58,0.06,Positive,No,5,2,23,Signal Jumping
Tamil Nadu,Scooter,Yellow,2003,Karnataka,30,Female,Heavy Vehicle,6,Foggy,Potholes,Valid,4,Yes,,Red,40,70,0.08,Negative,Yes,1,2,15,No Helmet
Maharashtra,Truck,White,2009,Karnataka,24,Male,Four-Wheeler,4,Rainy,Potholes,Suspended,3,Yes,No,Yellow,30,95,0.29,Not Conducted,No,2,0,20,No Seatbelt
Maharashtra,Truck,Yellow,2003,Punjab,68,Female,Two-Wheeler,0,Cloudy,Potholes,Expired,3,No,,Yellow,60,39,0.37,Positive,Yes,2,5,13,Driving Without License
Delhi,Auto Rickshaw,Black,2006,Uttar Pradesh,27,Male,Commercial,8,Foggy,Potholes,Expired,3,,No,Yellow,40,111,0.28,Not Conducted,Yes,4,5,3,Using Mobile Phone
Gujarat,Truck,Blue,2004,Uttar Pradesh,51,Male,Learner,2,Clear,Wet,Valid,1,Yes,,Red,100,80,0.24,Negative,Yes,4,1,3,Signal Jumping
Uttar Pradesh,Bike,Green,2016,Karnataka,21,Male,Heavy Vehicle,1,Dust Storm,Under Construction,Suspended,3,No,Yes,Yellow,30,89,0.3,Not Conducted,Yes,0,5,8,Wrong Parking
Maharashtra,Scooter,Yellow,2018,Karnataka,60,Female,Commercial,8,Rainy,Potholes,Valid,5,,Yes,Yellow,50,58,0.13,Negative,Yes,3,5,2,No Seatbelt
West Bengal,Bus,White,1996,Delhi,45,Female,Four-Wheeler,4,Rainy,Slippery,Valid,3,Yes,Yes,Yellow,40,82,0.02,Negative,No,4,0,4,Over-speeding
Gujarat,Scooter,Blue,2016,Maharashtra,68,Female,Learner,4,Dust Storm,Potholes,Expired,5,No,No,Red,50,40,0.43,Negative,Yes,1,1,22,Signal Jumping
Gujarat,Bus,Red,2003,Punjab,75,Female,Learner,7,Rainy,Potholes,Suspended,4,,No,Green,100,105,0.28,Negative,No,2,3,11,Driving Without License
Uttar Pradesh,Truck,White,2014,Maharashtra,29,Male,Commercial,9,Foggy,Slippery,Expired,2,No,Yes,Green,80,21,0.31,Not Conducted,Yes,0,4,7,Driving Without License
Delhi,Car,Red,2023,Karnataka,37,Male,Two-Wheeler,5,Rainy,Dry,Valid,5,No,No,Yellow,30,34,0.38,Not Conducted,No,2,2,0,Wrong Parking
Tamil Nadu,Auto Rickshaw,Green,2010,Gujarat,59,Female,Four-Wheeler,5,Dust Storm,Dry,Suspended,3,Yes,No,Yellow,60,24,0.26,Not Conducted,Yes,5,4,7,Signal Jumping
Gujarat,Auto Rickshaw,Blue,2022,Uttar Pradesh,75,Male,Learner,8,Rainy,Dry,Expired,1,Yes,,Green,40,24,0.29,Not Conducted,Yes,3,2,11,Driving Without License
Karnataka,Scooter,Green,2020,West Bengal,45,Female,Four-Wheeler,2,Dust Storm,Potholes,Suspended,5,,No,Yellow,30,84,0.08,Not Conducted,No,2,1,16,Overloading
Tamil Nadu,Bus,Red,1995,Delhi,18,Other,Learner,0,Clear,Wet,Valid,3,,No,Yellow,30,35,0.13,Positive,No,4,3,16,Wrong Parking
Punjab,Scooter,Silver,2003,Uttar Pradesh,28,Male,Two-Wheeler,1,Foggy,Wet,Suspended,2,Yes,,Yellow,50,31,0.03,Positive,Yes,0,4,10,Overloading
Karnataka,Truck,Grey,2011,West Bengal,24,Male,Learner,10,Clear,Potholes,Valid,3,,No,Red,50,29,0.36,Not Conducted,Yes,1,2,12,Drunk Driving
Tamil Nadu,Truck,Black,2006,Tamil Nadu,53,Female,Learner,1,Clear,Under Construction,Suspended,4,No,Yes,Yellow,80,54,0.39,Negative,Yes,0,3,9,Wrong Parking
West Bengal,Auto Rickshaw,Yellow,1997,Uttar Pradesh,21,Other,Heavy Vehicle,5,Dust Storm,Wet,Expired,2,,Yes,Green,100,117,0.37,Negative,Yes,2,3,0,Signal Jumping
West Bengal,Scooter,Black,2020,Uttar Pradesh,69,Other,Learner,3,Dust Storm,Potholes,Suspended,1,Yes,,Yellow,50,105,0.49,Positive,No,2,4,15,Driving Without License
Karnataka,Truck,Red,2017,Maharashtra,75,Male,Commercial,0,Foggy,Under Construction,Expired,2,,,Red,50,49,0.4,Positive,Yes,1,1,14,Using Mobile Phone
Karnataka,Auto Rickshaw,White,2016,Uttar Pradesh,58,Other,Two-Wheeler,2,Rainy,Dry,Valid,2,,Yes,Yellow,100,111,0.25,Positive,Yes,0,6,21,Wrong Parking
Punjab,Bus,Grey,2017,West Bengal,25,Other,Four-Wheeler,1,Cloudy,Potholes,Expired,1,,Yes,Red,100,97,0.38,Not Conducted,No,1,5,5,Drunk Driving
Delhi,Scooter,Grey,2010,Gujarat,20,Other,Heavy Vehicle,3,Cloudy,Wet,Suspended,5,,No,Green,80,91,0.35,Negative,No,5,6,4,Wrong Parking
Gujarat,Auto Rickshaw,Blue,2010,Gujarat,68,Other,Learner,1,Dust Storm,Dry,Expired,4,No,No,Green,60,35,0.0,Not Conducted,No,5,1,8,No Seatbelt
Punjab,Bus,Blue,2007,Tamil Nadu,71,Female,Four-Wheeler,8,Cloudy,Dry,Expired,3,No,Yes,Yellow,80,71,0.14,Not Conducted,Yes,3,2,0,Drunk Driving
Uttar Pradesh,Car,Yellow,2002,Uttar Pradesh,20,Female,Heavy Vehicle,10,Clear,Slippery,Valid,2,No,,Yellow,80,70,0.36,Negative,No,2,1,22,Signal Jumping
Delhi,Bike,Grey,2004,Delhi,36,Male,Four-Wheeler,3,Clear,Under Construction,Valid,1,No,,Green,50,58,0.43,Negative,No,1,0,6,Signal Jumping
Punjab,Car,Silver,2023,Tamil Nadu,27,Female,Two-Wheeler,4,Foggy,Slippery,Valid,3,No,No,Yellow,80,95,0.21,Negative,Yes,4,5,23,Drunk Driving
West Bengal,Auto Rickshaw,Black,1999,Punjab,56,Male,Four-Wheeler,8,Cloudy,Wet,Expired,5,Yes,Yes,Yellow,40,28,0.02,Positive,Yes,0,1,20,Overloading
West Bengal,Truck,Silver,2022,Karnataka,43,Male,Two-Wheeler,10,Foggy,Slippery,Valid,3,,Yes,Yellow,80,33,0.43,Not Conducted,No,2,0,7,Signal Jumping
Uttar Pradesh,Auto Rickshaw,White,2019,Gujarat,36,Male,Learner,6,Rainy,Slippery,Valid,4,,No,Yellow,60,97,0.21,Negative,No,2,2,23,Drunk Driving
Punjab,Truck,Blue,2000,Maharashtra,60,Male,Four-Wheeler,2,Foggy,Potholes,Suspended,1,No,,Red,80,67,0.14,Positive,No,4,5,4,Signal Jumping
Gujarat,Car,White,2003,Punjab,47,Other,Two-Wheeler,8,Foggy,Wet,Valid,1,,,Red,30,111,0.39,Not Conducted,Yes,5,1,8,No Helmet
Maharashtra,Truck,Black,2016,Uttar Pradesh,47,Female,Two-Wheeler,0,Clear,Under Construction,Suspended,4,No,Yes,Red,80,46,0.4,Negative,Yes,1,6,6,Wrong Parking
Maharashtra,Scooter,Black,2001,Punjab,69,Male,Heavy Vehicle,1,Clear,Dry,Valid,5,No,No,Green,40,44,0.07,Not Conducted,No,2,3,22,Driving Without License
West Bengal,Truck,Red,2011,Gujarat,40,Female,Four-Wheeler,10,Cloudy,Wet,Suspended,3,No,,Yellow,80,42,0.35,Negative,Yes,1,1,8,Signal Jumping
West Bengal,Bus,White,2005,Maharashtra,64,Other,Commercial,7,Cloudy,Potholes,Valid,1,,No,Red,60,110,0.09,Positive,Yes,1,4,2,Driving Without License
Tamil Nadu,Bike,Yellow,2003,West Bengal,64,Female,Commercial,3,Clear,Under Construction,Expired,4,No,No,Yellow,30,50,0.36,Positive,No,3,1,20,Over-speeding
West Bengal,Bus,Blue,2010,Delhi,28,Female,Learner,5,Foggy,Dry,Valid,3,,,Yellow,100,26,0.43,Not Conducted,Yes,2,4,8,Signal Jumping
Gujarat,Car,Black,2007,Uttar Pradesh,50,Other,Commercial,6,Rainy,Dry,Expired,4,No,,Red,40,76,0.31,Negative,No,3,3,1,Wrong Parking
Uttar Pradesh,Bike,Black,2004,Tamil Nadu,74,Male,Learner,1,Dust Storm,Wet,Expired,1,,,Red,50,75,0.41,Not Conducted,No,3,0,6,Driving Without License
Karnataka,Bus,Red,1997,Tamil Nadu,58,Other,Commercial,8,Rainy,Slippery,Expired,3,,Yes,Yellow,80,42,0.17,Negative,No,1,4,23,No Seatbelt
Tamil Nadu,Bus,Black,2007,Karnataka,28,Other,Heavy Vehicle,0,Cloudy,Potholes,Suspended,5,,Yes,Red,40,32,0.27,Not Conducted,Yes,5,6,10,Wrong Parking
West Bengal,Bus,Black,2015,Tamil Nadu,68,Male,Heavy Vehicle,3,Cloudy,Potholes,Valid,1,Yes,,Green,30,37,0.07,Negative,Yes,1,4,3,Drunk Driving
Punjab,Bike,Black,2013,Delhi,39,Other,Learner,8,Rainy,Wet,Suspended,2,No,,Yellow,40,47,0.11,Positive,Yes,3,4,22,Overloading
Punjab,Bike,Green,2004,Tamil Nadu,39,Male,Commercial,1,Clear,Potholes,Valid,1,No,Yes,Yellow,80,116,0.18,Not Conducted,Yes,3,3,16,Over-speeding
Gujarat,Scooter,Blue,2016,Delhi,39,Male,Four-Wheeler,9,Rainy,Under Construction,Valid,1,Yes,No,Yellow,40,28,0.02,Negative,Yes,1,0,16,Overloading
Uttar Pradesh,Car,Black,2022,Karnataka,29,Female,Four-Wheeler,1,Rainy,Potholes,Expired,1,Yes,No,Red,50,37,0.26,Negative,No,1,6,17,Overloading
Maharashtra,Bike,Black,2011,West Bengal,54,Male,Commercial,9,Dust Storm,Slippery,Valid,5,Yes,Yes,Red,30,89,0.08,Positive,Yes,3,0,13,No Helmet
Tamil Nadu,Bike,Red,2017,Punjab,22,Female,Heavy Vehicle,5,Cloudy,Wet,Suspended,5,,No,Red,40,93,0.2,Positive,No,3,4,4,Wrong Parking
Karnataka,Scooter,Yellow,2016,Uttar Pradesh,63,Female,Learner,4,Foggy,Under Construction,Expired,3,Yes,Yes,Yellow,100,40,0.13,Positive,Yes,4,4,8,No Helmet
Gujarat,Auto Rickshaw,Grey,2007,Karnataka,22,Other,Heavy Vehicle,8,Dust Storm,Slippery,Expired,3,Yes,Yes,Yellow,80,25,0.24,Not Conducted,No,5,3,21,Overloading
Uttar Pradesh,Scooter,Red,1996,West Bengal,56,Female,Four-Wheeler,9,Cloudy,Slippery,Suspended,3,No,Yes,Green,50,25,0.48,Positive,Yes,0,6,2,No Helmet
Uttar Pradesh,Truck,Green,1997,West Bengal,43,Female,Two-Wheeler,9,Rainy,Under Construction,Valid,1,,Yes,Red,100,92,0.37,Not Conducted,No,2,5,6,Signal Jumping
Maharashtra,Bike,Green,1998,Tamil Nadu,57,Other,Two-Wheeler,8,Dust Storm,Wet,Valid,4,Yes,Yes,Red,40,86,0.01,Negative,No,5,5,11,No Helmet
West Bengal,Car,Silver,2003,Maharashtra,63,Other,Four-Wheeler,6,Foggy,Slippery,Valid,2,,,Yellow,100,66,0.09,Not Conducted,No,0,4,17,Drunk Driving
Delhi,Auto Rickshaw,Yellow,2011,Gujarat,65,Other,Learner,3,Dust Storm,Dry,Valid,1,Yes,,Green,80,105,0.1,Negative,No,0,0,17,Signal Jumping
Maharashtra,Bike,Silver,2016,Gujarat,75,Male,Learner,3,Foggy,Slippery,Expired,1,,Yes,Green,60,79,0.15,Negative,No,1,4,8,Wrong Parking
Punjab,Truck,Green,2006,Uttar Pradesh,46,Male,Heavy Vehicle,10,Rainy,Potholes,Expired,2,Yes,,Yellow,80,37,0.26,Not Conducted,No,4,0,8,Overloading
Punjab,Bus,Yellow,2014,Tamil Nadu,60,Female,Heavy Vehicle,7,Cloudy,Potholes,Suspended,3,Yes,,Yellow,80,119,0.28,Not Conducted,Yes,5,0,23,Overloading
Tamil Nadu,Car,Red,2004,Gujarat,55,Other,Commercial,1,Rainy,Wet,Valid,3,Yes,No,Green,50,68,0.25,Positive,Yes,0,1,2,No Seatbelt
Maharashtra,Truck,White,1998,Punjab,57,Other,Heavy Vehicle,6,Foggy,Dry,Valid,5,No,Yes,Green,80,80,0.46,Positive,Yes,2,2,2,Wrong Parking
Uttar Pradesh,Truck,Green,2009,West Bengal,68,Other,Heavy Vehicle,5,Dust Storm,Slippery,Suspended,1,Yes,Yes,Red,50,40,0.27,Positive,Yes,2,3,11,Wrong Parking
Punjab,Bus,Red,1997,Punjab,42,Other,Two-Wheeler,6,Clear,Wet,Expired,3,,No,Yellow,30,54,0.07,Positive,Yes,0,2,5,Driving Without License
Uttar Pradesh,Truck,Green,2002,Gujarat,36,Other,Heavy Vehicle,9,Rainy,Potholes,Suspended,5,No,Yes,Green,80,49,0.14,Not Conducted,Yes,3,4,18,No Seatbelt
West Bengal,Truck,Red,2009,Tamil Nadu,45,Female,Heavy Vehicle,1,Cloudy,Dry,Valid,4,Yes,Yes,Green,40,35,0.12,Not Conducted,No,0,5,3,No Helmet
Punjab,Bike,White,2022,Punjab,57,Other,Two-Wheeler,3,Rainy,Wet,Expired,5,Yes,No,Green,50,33,0.3,Not Conducted,Yes,2,5,4,Wrong Parking
Punjab,Truck,Blue,2017,Tamil Nadu,58,Female,Commercial,6,Cloudy,Under Construction,Expired,2,Yes,Yes,Green,40,36,0.39,Negative,Yes,4,3,15,No Helmet
Karnataka,Scooter,Black,1995,Maharashtra,24,Other,Commercial,8,Cloudy,Dry,Valid,2,No,Yes,Red,30,93,0.14,Not Conducted,Yes,2,6,20,Drunk Driving
Uttar Pradesh,Truck,Yellow,1999,Punjab,68,Male,Two-Wheeler,5,Clear,Under Construction,Expired,1,,,Yellow,30,111,0.32,Positive,Yes,1,5,12,Wrong Parking
Gujarat,Bike,Grey,2008,West Bengal,28,Female,Heavy Vehicle,1,Dust Storm,Under Construction,Valid,4,No,No,Yellow,60,32,0.35,Negative,No,0,1,5,No Seatbelt
West Bengal,Scooter,Blue,1998,Delhi,57,Female,Four-Wheeler,6,Clear,Under Construction,Valid,3,,No,Green,40,76,0.15,Negative,Yes,0,2,23,Using Mobile Phone
Maharashtra,Truck,Green,2013,Gujarat,65,Female,Commercial,2,Cloudy,Slippery,Expired,1,,No,Green,60,46,0.47,Not Conducted,Yes,4,6,3,Over-speeding
Gujarat,Truck,Yellow,2007,Tamil Nadu,24,Female,Learner,0,Clear,Slippery,Valid,2,No,,Yellow,30,94,0.3,Positive,No,5,3,22,Signal Jumping
Gujarat,Truck,Silver,1999,Uttar Pradesh,38,Male,Two-Wheeler,5,Clear,Under Construction,Suspended,3,No,No,Green,30,78,0.49,Positive,No,3,4,16,No Seatbelt
Karnataka,Car,White,1997,Gujarat,19,Female,Learner,1,Clear,Wet,Valid,5,,Yes,Green,40,73,0.42,Positive,No,3,5,19,Driving Without License
Karnataka,Scooter,Silver,2004,Delhi,48,Female,Heavy Vehicle,10,Cloudy,Potholes,Valid,1,,No,Yellow,30,29,0.12,Not Conducted,No,3,6,14,Drunk Driving
Karnataka,Truck,Green,2023,Delhi,34,Female,Learner,4,Foggy,Potholes,Expired,5,,Yes,Red,30,44,0.34,Not Conducted,No,1,3,16,Overloading
Maharashtra,Bus,Green,1998,Karnataka,40,Male,Two-Wheeler,9,Foggy,Dry,Expired,3,,,Yellow,30,80,0.34,Positive,No,4,4,11,Wrong Parking
Tamil Nadu,Car,White,2010,Karnataka,26,Female,Heavy Vehicle,3,Rainy,Dry,Suspended,5,No,No,Yellow,60,48,0.42,Negative,Yes,4,5,5,Driving Without License
Gujarat,Bus,Red,1996,Tamil Nadu,26,Female,Heavy Vehicle,10,Clear,Under Construction,Expired,2,Yes,No,Green,100,39,0.35,Negative,No,4,4,6,Wrong Parking
Punjab,Truck,Yellow,2001,Delhi,69,Other,Heavy Vehicle,5,Rainy,Dry,Suspended,5,Yes,,Red,100,58,0.14,Positive,No,5,3,0,Driving Without License
Maharashtra,Scooter,Silver,2018,Karnataka,69,Male,Heavy Vehicle,7,Cloudy,Slippery,Expired,4,No,,Red,80,98,0.31,Negative,Yes,2,1,14,No Helmet
Delhi,Truck,White,2004,Punjab,40,Male,Four-Wheeler,2,Foggy,Wet,Valid,2,No,,Yellow,50,52,0.43,Positive,Yes,5,5,21,Over-speeding
Karnataka,Auto Rickshaw,Grey,2003,Maharashtra,47,Male,Heavy Vehicle,3,Rainy,Under Construction,Expired,1,Yes,No,Green,80,61,0.36,Positive,Yes,2,6,23,Drunk Driving
Gujarat,Car,Green,2006,Uttar Pradesh,54,Male,Two-Wheeler,6,Dust Storm,Under Construction,Valid,3,,Yes,Yellow,30,79,0.28,Not Conducted,Yes,3,4,11,Drunk Driving
Delhi,Auto Rickshaw,Black,1999,West Bengal,33,Female,Learner,3,Dust Storm,Slippery,Suspended,3,No,Yes,Red,50,82,0.29,Not Conducted,No,1,0,11,No Seatbelt
Uttar Pradesh,Truck,Black,2020,Delhi,69,Female,Two-Wheeler,1,Clear,Dry,Expired,5,,Yes,Red,100,81,0.16,Not Conducted,Yes,5,2,8,No Helmet
West Bengal,Truck,Green,2007,West Bengal,33,Female,Two-Wheeler,1,Clear,Dry,Expired,1,Yes,Yes,Green,100,70,0.45,Positive,Yes,1,3,17,Over-speeding
Tamil Nadu,Bus,Silver,2021,Tamil Nadu,38,Other,Learner,10,Dust Storm,Dry,Expired,3,,Yes,Green,100,69,0.17,Not Conducted,No,5,0,21,Using Mobile Phone
Uttar Pradesh,Truck,Grey,2017,Maharashtra,51,Other,Two-Wheeler,8,Clear,Potholes,Expired,1,Yes,No,Green,80,112,0.11,Negative,No,5,5,7,Wrong Parking
Tamil Nadu,Bike,Grey,2004,Maharashtra,42,Female,Commercial,3,Clear,Under Construction,Expired,3,,,Green,60,20,0.44,Positive,No,3,3,16,No Seatbelt
Tamil Nadu,Bus,Red,1995,Tamil Nadu,37,Male,Heavy Vehicle,9,Dust Storm,Dry,Expired,2,,No,Green,50,51,0.09,Not Conducted,Yes,3,3,20,Signal Jumping
Maharashtra,Car,Black,2002,Gujarat,21,Male,Two-Wheeler,6,Foggy,Dry,Expired,3,,No,Green,30,36,0.36,Positive,Yes,2,6,17,Over-speeding
Tamil Nadu,Scooter,Grey,1995,West Bengal,44,Female,Commercial,3,Foggy,Wet,Suspended,3,Yes,,Green,60,22,0.41,Not Conducted,Yes,5,4,14,No Seatbelt
Uttar Pradesh,Bus,Blue,2010,Punjab,67,Other,Heavy Vehicle,5,Cloudy,Dry,Suspended,2,No,Yes,Green,50,31,0.22,Not Conducted,Yes,0,4,19,Driving Without License
Karnataka,Car,Grey,1996,Gujarat,73,Male,Four-Wheeler,6,Rainy,Wet,Valid,4,No,,Red,30,118,0.13,Positive,Yes,1,6,6,Using Mobile Phone
Punjab,Truck,Grey,2021,Karnataka,38,Male,Two-Wheeler,10,Foggy,Dry,Expired,2,No,Yes,Green,80,90,0.17,Not Conducted,No,5,6,13,Overloading
Punjab,Truck,Red,2003,West Bengal,74,Male,Two-Wheeler,7,Dust Storm,Dry,Suspended,3,No,No,Yellow,40,34,0.13,Not Conducted,No,1,0,11,Overloading
Maharashtra,Bus,Red,2017,Maharashtra,32,Male,Four-Wheeler,8,Dust Storm,Under Construction,Expired,5,Yes,,Yellow,50,97,0.05,Positive,Yes,3,5,12,No Helmet
Punjab,Scooter,White,2003,Punjab,29,Male,Two-Wheeler,8,Dust Storm,Wet,Suspended,4,Yes,,Red,60,70,0.19,Negative,Yes,2,4,1,Using Mobile Phone
Delhi,Bus,Green,2002,Maharashtra,62,Male,Learner,4,Cloudy,Wet,Suspended,2,,No,Yellow,60,33,0.49,Negative,Yes,2,6,2,No Helmet
Gujarat,Scooter,Black,2002,West Bengal,35,Female,Learner,9,Rainy,Wet,Valid,3,No,No,Red,100,110,0.27,Not Conducted,Yes,3,2,0,Driving Without License
Maharashtra,Bus,Blue,2021,Delhi,69,Female,Four-Wheeler,8,Rainy,Potholes,Suspended,4,,Yes,Yellow,50,35,0.4,Positive,Yes,2,1,6,Wrong Parking
